day;hour;wind_dir;speed;temp;details;scenario;radiation;precip
01/01/2016;00h00;76;4.1;12;mesure;S1;0;0
01/01/2016;00h15;87;4.7;11.7;mesure;S1;0;0
01/01/2016;00h30;80;4;11.7;mesure;S1;0;0
01/01/2016;00h45;85;4.2;11.6;mesure;S1;0;0
01/01/2016;01h00;99;3.8;11.5;mesure;S1;0;0
01/01/2016;01h15;87;4.2;11.3;mesure;S1;0;0
01/01/2016;01h30;96;4.9;11.4;mesure;S1;0;0
01/01/2016;01h45;95;4.8;11.5;mesure;S1;0;0
01/01/2016;02h00;91;5;11.6;mesure;S1;0;0
01/01/2016;02h15;97;4.9;11.5;mesure;S1;0;0
01/01/2016;02h30;85;4.4;10.9;mesure;S1;0;0
01/01/2016;02h45;90;3.4;10.5;mesure;S1;0;0
01/01/2016;03h00;96;3.4;10.3;mesure;S1;0;0
01/01/2016;03h15;93;4.3;9.9;mesure;S1;0;0
01/01/2016;03h30;90;4.3;9.8;mesure;S1;0;0
01/01/2016;03h45;86;3.9;9.8;mesure;S1;0;0
01/01/2016;04h00;80;4.1;9.3;mesure;S1;0;0
01/01/2016;04h15;84;3.7;9.3;mesure;S1;0;0
01/01/2016;04h30;86;3.6;9.3;mesure;S1;0;0
01/01/2016;04h45;94;3.4;9.1;mesure;S1;0;0
01/01/2016;05h00;84;3;9;mesure;S1;0;0
01/01/2016;05h15;83;3.4;8.9;mesure;S1;0;0
01/01/2016;05h30;90;3.3;8.7;mesure;S1;0;0
01/01/2016;05h45;85;2.9;8.6;mesure;S1;0;0
01/01/2016;06h00;85;2.9;8.2;mesure;S1;0;0
01/01/2016;06h15;82;2.6;8.2;mesure;S1;0;0
01/01/2016;06h30;92;2.4;8.2;mesure;S1;0;0
01/01/2016;06h45;82;2.6;8.2;mesure;S1;0;0
01/01/2016;07h00;84;2.6;7.9;mesure;S1;0;0
01/01/2016;07h15;91;2.5;7.7;mesure;S1;0;0
01/01/2016;07h30;78;2.5;7.5;mesure;S1;1;0
01/01/2016;07h45;85;2.6;7.4;mesure;S1;4;0
01/01/2016;08h00;91;3;7.4;mesure;S1;10;0
01/01/2016;08h15;81;2.8;7.4;mesure;S1;25;0
