date,cycle,direction (ｰ),vitesse (m/s),temperature (ｰC),rayonnement (W/m2),precip (mm/h)
1/1/15 0:00,01/01/2015 00h,56.8391,2.1024,12.29,0,0
1/1/15 1:00,01/01/2015 00h,65.8174,2.13929,12.0633,0,0
1/1/15 2:00,01/01/2015 00h,74.7958,2.17617,11.8367,0,0
1/1/15 3:00,01/01/2015 00h,83.7742,2.21305,11.61,0,0
1/1/15 4:00,01/01/2015 00h,79.8714,2.31973,11.5,0,0
1/1/15 5:00,01/01/2015 00h,75.9686,2.4264,11.39,0,0
1/1/15 6:00,01/01/2015 00h,72.0658,2.53308,11.28,0,0
1/1/15 7:00,01/01/2015 00h,72.8028,2.86957,12.03,10,0
1/1/15 8:00,01/01/2015 00h,73.5398,3.20606,12.78,20,0
1/1/15 9:00,01/01/2015 00h,74.2768,3.54256,13.53,30,0
1/1/15 10:00,01/01/2015 00h,67.093,3.58907,14.91,163.333,0
1/1/15 11:00,01/01/2015 00h,59.9093,3.63558,16.29,296.667,0
1/1/15 12:00,01/01/2015 00h,52.7255,3.68209,17.67,430,0
1/1/15 13:00,01/01/2015 00h,42.0301,3.79758,18.15,473.333,0
1/1/15 14:00,01/01/2015 00h,31.3347,3.91307,18.63,516.667,0
1/1/15 15:00,01/01/2015 00h,20.6393,4.02856,19.11,560,0
1/1/15 16:00,01/01/2015 00h,19.9253,4.61891,18.07,440,0
1/1/15 17:00,01/01/2015 00h,19.2114,5.20927,17.03,320,0
1/1/15 18:00,01/01/2015 00h,18.4974,5.79962,15.99,200,0
1/1/15 19:00,01/01/2015 00h,28.8519,5.5263,15.27,133.333,0
1/1/15 20:00,01/01/2015 00h,39.2064,5.25298,14.55,66.6667,0
1/1/15 21:00,01/01/2015 00h,49.5609,4.97966,13.83,0,0
1/1/15 22:00,01/01/2015 00h,58.4862,4.56158,13.3367,0,0
1/1/15 23:00,01/01/2015 00h,67.4115,4.1435,12.8433,0,0
1/13/15 0:00,13/01/2015 00h,98.8388,4.23024,17.19,0,0.00333334
1/13/15 1:00,13/01/2015 00h,102.353,4.09578,16.87,0,0.00222222
1/13/15 2:00,13/01/2015 00h,105.868,3.96133,16.55,0,0.00111111
1/13/15 3:00,13/01/2015 00h,109.382,3.82688,16.23,0,0
1/13/15 4:00,13/01/2015 00h,113.294,3.82835,16.3667,0,0
1/13/15 5:00,13/01/2015 00h,117.206,3.82982,16.5033,0,0
1/13/15 6:00,13/01/2015 00h,121.118,3.83129,16.64,0,0
1/13/15 7:00,13/01/2015 00h,120.371,4.0312,16.92,6.66667,0
1/13/15 8:00,13/01/2015 00h,119.625,4.23112,17.2,13.3333,0
1/13/15 9:00,13/01/2015 00h,118.879,4.43103,17.48,20,0
1/13/15 10:00,13/01/2015 00h,121.867,3.50276,19.01,140,0
1/13/15 11:00,13/01/2015 00h,124.856,2.5745,20.54,260,0
1/13/15 12:00,13/01/2015 00h,127.844,1.64624,22.07,380,0
1/13/15 13:00,13/01/2015 00h,179.888,1.87037,21.2933,323.333,0.0111111
1/13/15 14:00,13/01/2015 00h,231.932,2.09451,20.5167,266.667,0.0222222
1/13/15 15:00,13/01/2015 00h,283.976,2.31864,19.74,210,0.0333333
1/13/15 16:00,13/01/2015 00h,264.742,3.24324,18.82,163.333,0.0333333
1/13/15 17:00,13/01/2015 00h,245.507,4.16783,17.9,116.667,0.0333333
1/13/15 18:00,13/01/2015 00h,226.273,5.09243,16.98,70,0.0333333
1/13/15 19:00,13/01/2015 00h,225.07,5.24439,16.2467,46.6667,0.144444
1/13/15 20:00,13/01/2015 00h,223.866,5.39636,15.5133,23.3333,0.255556
1/13/15 21:00,13/01/2015 00h,222.663,5.54833,14.78,0,0.366667
1/13/15 22:00,13/01/2015 00h,229.587,4.20573,14.7167,0,0.311111
1/13/15 23:00,13/01/2015 00h,236.511,2.86313,14.6533,0,0.255556
1/31/15 0:00,31/01/2015 00h,28.0153,1.76706,12.59,0,0
1/31/15 1:00,31/01/2015 00h,16.1714,1.6622,13.2433,0,0.0222222
1/31/15 2:00,31/01/2015 00h,4.32745,1.55734,13.8967,0,0.0444444
1/31/15 3:00,31/01/2015 00h,352.484,1.45248,14.55,0,0.0666667
1/31/15 4:00,31/01/2015 00h,340.84,1.33874,14.4667,0,0.0555556
1/31/15 5:00,31/01/2015 00h,329.196,1.225,14.3833,0,0.0444444
1/31/15 6:00,31/01/2015 00h,317.553,1.11126,14.3,0,0.0333333
1/31/15 7:00,31/01/2015 00h,304.836,1.2713,14.51,3.33333,0.0377778
1/31/15 8:00,31/01/2015 00h,292.12,1.43134,14.72,6.66667,0.0422222
1/31/15 9:00,31/01/2015 00h,279.403,1.59138,14.93,10,0.0466667
1/31/15 10:00,31/01/2015 00h,292.45,2.66205,15.0433,25.3333,0.0488889
1/31/15 11:00,31/01/2015 00h,305.498,3.73271,15.1567,40.6667,0.0511111
1/31/15 12:00,31/01/2015 00h,318.545,4.80337,15.27,56,0.0533333
1/31/15 13:00,31/01/2015 00h,322.51,4.74277,15.44,110.667,0.0577778
1/31/15 14:00,31/01/2015 00h,326.475,4.68216,15.61,165.333,0.0622222
1/31/15 15:00,31/01/2015 00h,330.44,4.62156,15.78,220,0.0666667
1/31/15 16:00,31/01/2015 00h,324.248,3.90015,15.4033,173.333,0.0444444
1/31/15 17:00,31/01/2015 00h,318.057,3.17874,15.0267,126.667,0.0222222
1/31/15 18:00,31/01/2015 00h,311.866,2.45734,14.65,80,0
1/31/15 19:00,31/01/2015 00h,327.977,2.5949,14.49,53.3333,0.0333333
1/31/15 20:00,31/01/2015 00h,344.088,2.73246,14.33,26.6667,0.0666667
1/31/15 21:00,31/01/2015 00h,0.199646,2.87002,14.17,0,0.1
1/31/15 22:00,31/01/2015 00h,9.77348,3.58137,13.77,0,0.122222
1/31/15 23:00,31/01/2015 00h,19.3473,4.29272,13.37,0,0.144444
2/2/15 0:00,02/02/2015 00h,54.4733,6.05766,8.54999,0,0
2/2/15 1:00,02/02/2015 00h,55.3937,5.92929,8.15666,0,0
2/2/15 2:00,02/02/2015 00h,56.3141,5.80092,7.76333,0,0
2/2/15 3:00,02/02/2015 00h,57.2344,5.67255,7.37,0,0
2/2/15 4:00,02/02/2015 00h,61.999,5.42292,6.97,0,0
2/2/15 5:00,02/02/2015 00h,66.7636,5.17329,6.57001,0,0
2/2/15 6:00,02/02/2015 00h,71.5283,4.92367,6.17001,0,0
2/2/15 7:00,02/02/2015 00h,69.1784,5.41004,7.10334,16.6667,0
2/2/15 8:00,02/02/2015 00h,66.8286,5.89642,8.03667,33.3333,0
2/2/15 9:00,02/02/2015 00h,64.4788,6.3828,8.97,50,0
2/2/15 10:00,02/02/2015 00h,58.7344,6.42061,11.16,201.333,0
2/2/15 11:00,02/02/2015 00h,52.9901,6.45842,13.35,352.667,0
2/2/15 12:00,02/02/2015 00h,47.2457,6.49623,15.54,504,0
2/2/15 13:00,02/02/2015 00h,38.5791,6.5017,16.0433,556,0
2/2/15 14:00,02/02/2015 00h,29.9126,6.50717,16.5467,608,0
2/2/15 15:00,02/02/2015 00h,21.246,6.51264,17.05,660,0
2/2/15 16:00,02/02/2015 00h,20.8799,6.42241,15.6733,530.667,0
2/2/15 17:00,02/02/2015 00h,20.5139,6.33219,14.2967,401.333,0
2/2/15 18:00,02/02/2015 00h,20.1478,6.24196,12.92,272,0
2/2/15 19:00,02/02/2015 00h,28.1765,5.74773,11.9667,181.333,0
2/2/15 20:00,02/02/2015 00h,36.2052,5.25349,11.0133,90.6667,0
2/2/15 21:00,02/02/2015 00h,44.2338,4.75925,10.06,0,0
2/2/15 22:00,02/02/2015 00h,50.0727,4.44049,9.61,0,0
2/2/15 23:00,02/02/2015 00h,55.9115,4.12172,9.15999,0,0
2/3/15 0:00,03/02/2015 00h,69.173,3.71259,8.63,0,0
2/3/15 1:00,03/02/2015 00h,71.4366,3.62953,8.29,0,0
2/3/15 2:00,03/02/2015 00h,73.7002,3.54647,7.94999,0,0
