day;hour;wind_dir;speed;temp;details;scenario;radiation;precip
01/07/2019;00h00;59;3.4;23.5;mesure;S1;0;0
01/07/2019;00h15;53;2.9;23.5;mesure;S1;0;0
01/07/2019;00h30;52;3.1;23.5;mesure;S1;0;0
01/07/2019;00h45;40;2.9;23.5;mesure;S1;0;0
01/07/2019;01h00;25;3.1;23.5;mesure;S1;0;0
01/07/2019;01h15;27;3.5;23.5;mesure;S1;0;0
01/07/2019;01h30;36;2.9;23.5;mesure;S1;0;0
01/07/2019;01h45;36;2.8;23.4;mesure;S1;0;0
01/07/2019;02h00;32;3.4;23.3;mesure;S1;0;0
01/07/2019;02h15;51;3.7;23.2;mesure;S1;0;0
01/07/2019;02h30;28;2.9;23.2;mesure;S1;0;0
01/07/2019;02h45;27;3.3;23.2;mesure;S1;0;0
01/07/2019;03h00;26;3.2;23.2;mesure;S1;0;0
01/07/2019;03h15;39;2.9;23.1;mesure;S1;0;0
01/07/2019;03h30;45;3.7;23.1;mesure;S1;0;0
01/07/2019;03h45;52;3.7;23.2;mesure;S1;0;0
01/07/2019;04h00;36;3.7;23.2;mesure;S1;0;0
01/07/2019;04h15;46;3.2;23.2;mesure;S1;0;0
01/07/2019;04h30;66;3.8;23.2;mesure;S1;0;0
01/07/2019;04h45;69;3.6;23.2;mesure;S1;0;0
01/07/2019;05h00;44;3.2;23.2;mesure;S1;0;0
01/07/2019;05h15;34;3.3;23.2;mesure;S1;0;0
01/07/2019;05h30;46;2.8;23.2;mesure;S1;0;0
01/07/2019;05h45;34;3.2;23.1;mesure;S1;2;0
01/07/2019;06h00;45;3.1;23.1;mesure;S1;7;0
01/07/2019;06h15;42;3.2;23.1;mesure;S1;14;0
01/07/2019;06h30;72;4.2;23.1;mesure;S1;24;0
01/07/2019;06h45;68;3.9;23.1;mesure;S1;34;0
01/07/2019;07h00;63;3.8;23.2;mesure;S1;47;0
01/07/2019;07h15;47;3.2;23.2;mesure;S1;62;0
01/07/2019;07h30;51;3.2;23.4;mesure;S1;76;0
01/07/2019;07h45;46;3.4;23.6;mesure;S1;102;0
01/07/2019;08h00;44;3.2;23.8;mesure;S1;113;0
01/07/2019;08h15;46;3.2;23.9;mesure;S1;154;0
01/07/2019;08h30;43;3.5;24.3;mesure;S1;237;0
01/07/2019;08h45;47;4.5;24.6;mesure;S1;289;0
01/07/2019;09h00;35;3.8;24.9;mesure;S1;391;0
01/07/2019;09h15;56;4;25.5;mesure;S1;494;0
01/07/2019;09h30;41;4.7;25.8;mesure;S1;528;0
01/07/2019;09h45;32;3.6;26.2;mesure;S1;570;0
01/07/2019;10h00;32;3.4;26.8;mesure;S1;608;0
01/07/2019;10h15;28;3.1;27.1;mesure;S1;644;0
01/07/2019;10h30;42;3.6;27.3;mesure;S1;675;0
01/07/2019;10h45;42;4;27.4;mesure;S1;703;0
01/07/2019;11h00;12;3.2;27.8;mesure;S1;730;0
01/07/2019;11h15;348;2.9;28.4;mesure;S1;750;0
01/07/2019;11h30;329;3.4;28;mesure;S1;776;0
01/07/2019;11h45;327;4.7;27.8;mesure;S1;793;0
01/07/2019;12h00;321;6.8;26.7;mesure;S1;808;0
01/07/2019;12h15;319;7.6;26.3;mesure;S1;819;0
01/07/2019;12h30;318;8.2;26.1;mesure;S1;828;0
01/07/2019;12h45;321;8.1;26.1;mesure;S1;832;0
01/07/2019;13h00;316;7.8;25.9;mesure;S1;833;0
01/07/2019;13h15;319;7.9;26.2;mesure;S1;829;0
01/07/2019;13h30;322;9;25.9;mesure;S1;822;0
01/07/2019;13h45;320;8.5;26;mesure;S1;809;0
01/07/2019;14h00;320;8.4;25.9;mesure;S1;792;0
01/07/2019;14h15;315;8.3;25.9;mesure;S1;772;0
01/07/2019;14h30;314;7.9;26.2;mesure;S1;750;0
01/07/2019;14h45;316;7.9;26.2;mesure;S1;722;0
01/07/2019;15h00;316;7.9;26.4;mesure;S1;694;0
01/07/2019;15h15;321;7.7;26.2;mesure;S1;662;0
01/07/2019;15h30;320;7.2;26.3;mesure;S1;630;0
01/07/2019;15h45;322;7;26.5;mesure;S1;595;0
01/07/2019;16h00;327;6.8;26.6;mesure;S1;557;0
01/07/2019;16h15;326;5.8;26.6;mesure;S1;518;0
01/07/2019;16h30;345;4.8;27.9;mesure;S1;480;0
01/07/2019;16h45;358;4.7;28.3;mesure;S1;439;0
01/07/2019;17h00;343;5.4;28.2;mesure;S1;399;0
01/07/2019;17h15;345;5.4;27.9;mesure;S1;357;0
01/07/2019;17h30;1;5.5;27.6;mesure;S1;315;0
01/07/2019;17h45;1;5.3;27.3;mesure;S1;274;0
01/07/2019;18h00;5;4.9;27.1;mesure;S1;230;0
01/07/2019;18h15;354;5.4;26.6;mesure;S1;179;0
01/07/2019;18h30;2;5.8;26.2;mesure;S1;130;0
01/07/2019;18h45;9;4.8;25.8;mesure;S1;87;0
01/07/2019;19h00;17;4.6;25.5;mesure;S1;52;0
01/07/2019;19h15;12;4.9;25.1;mesure;S1;30;0
01/07/2019;19h30;13;4.7;24.7;mesure;S1;16;0
01/07/2019;19h45;13;4.5;24.3;mesure;S1;8;0
01/07/2019;20h00;15;4.6;24.1;mesure;S1;2;0
01/07/2019;20h15;24;4.7;23.8;mesure;S1;0;0
01/07/2019;20h30;33;4.8;23.6;mesure;S1;0;0
01/07/2019;20h45;27;3.8;23.5;mesure;S1;0;0
01/07/2019;21h00;30;4.7;23.4;mesure;S1;0;0
01/07/2019;21h15;21;4.1;23.3;mesure;S1;0;0
01/07/2019;21h30;17;3.8;23.2;mesure;S1;0;0
01/07/2019;21h45;19;4.2;23.2;mesure;S1;0;0
01/07/2019;22h00;24;3.8;23.1;mesure;S1;0;0
01/07/2019;22h15;28;3.3;23.1;mesure;S1;0;0
01/07/2019;22h30;30;3;23;mesure;S1;0;0
01/07/2019;22h45;38;2.6;22.9;mesure;S1;0;0
01/07/2019;23h00;40;2.9;22.9;mesure;S1;0;0
01/07/2019;23h15;47;3.1;22.9;mesure;S1;0;0
01/07/2019;23h30;64;2.7;22.7;mesure;S1;0;0
01/07/2019;23h45;53;2.5;22.6;mesure;S1;0;0
02/07/2019;00h00;49;2.4;22.7;mesure;S1;0;0
02/07/2019;00h15;54;2.9;22.8;mesure;S1;0;0
02/07/2019;00h30;60;3.1;22.8;mesure;S1;0;0
02/07/2019;00h45;61;3.2;22.9;mesure;S1;0;0
02/07/2019;01h00;51;3.2;23;mesure;S1;0;0
02/07/2019;01h15;64;3.5;23.2;mesure;S1;0;0
02/07/2019;01h30;61;3.7;23.2;mesure;S1;0;0
02/07/2019;01h45;41;2.9;23.3;mesure;S1;0;0
02/07/2019;02h00;50;3;23.3;mesure;S1;0;0
02/07/2019;02h15;43;3.2;23.4;mesure;S1;0;0
02/07/2019;02h30;46;2.5;23.5;mesure;S1;0;0
02/07/2019;02h45;49;3.5;23.4;mesure;S1;0;0
02/07/2019;03h00;50;2.9;23.3;mesure;S1;0;0
02/07/2019;03h15;60;2.8;23.4;mesure;S1;0;0
02/07/2019;03h30;32;3.4;23.4;mesure;S1;0;0
02/07/2019;03h45;30;3.6;23.4;mesure;S1;0;0
02/07/2019;04h00;28;3.6;23.4;mesure;S1;0;0
02/07/2019;04h15;39;3.2;23.2;mesure;S1;0;0
02/07/2019;04h30;53;3.6;23.2;mesure;S1;0;0
02/07/2019;04h45;60;3.4;23.1;mesure;S1;0;0
02/07/2019;05h00;52;3;23.1;mesure;S1;0;0
02/07/2019;05h15;48;2.8;23.1;mesure;S1;0;0
02/07/2019;05h30;55;3.7;23.1;mesure;S1;1;0
02/07/2019;05h45;27;3;23;mesure;S1;4;0
02/07/2019;06h00;33;3;23;mesure;S1;13;0
02/07/2019;06h15;30;2.5;23.1;mesure;S1;24;0
02/07/2019;06h30;24;3.4;23.2;mesure;S1;42;0
02/07/2019;06h45;13;3.4;23.4;mesure;S1;63;0
02/07/2019;07h00;27;3.8;23.5;mesure;S1;96;0
