date,cycle,direction (ｰ),vitesse (m/s),temperature (ｰC),rayonnement (W/m2),precip (mm/h)
2/9/15 0:00,08/02/2015 12h,58.6941,3.73359,8.75,0,0
2/9/15 1:00,08/02/2015 12h,63.2307,3.38828,8.91667,0,0
2/9/15 2:00,08/02/2015 12h,67.7673,3.04296,9.08333,0,0
2/9/15 3:00,08/02/2015 12h,72.3039,2.69765,9.25,0,0
2/9/15 4:00,08/02/2015 12h,83.704,2.36164,9.34667,0,0
2/9/15 5:00,08/02/2015 12h,95.1042,2.02563,9.44334,0,0
2/9/15 6:00,08/02/2015 12h,106.504,1.68962,9.54001,0,0
2/9/15 7:00,08/02/2015 12h,143.258,1.48841,10.6567,20,0
2/9/15 8:00,08/02/2015 12h,180.011,1.28721,11.7733,40,0
2/9/15 9:00,08/02/2015 12h,216.764,1.086,12.89,60,0
2/9/15 10:00,08/02/2015 12h,234.836,1.50412,14.2067,192.667,0
2/9/15 11:00,08/02/2015 12h,252.908,1.92223,15.5233,325.333,0
2/9/15 12:00,08/02/2015 12h,270.979,2.34034,16.84,458,0
2/9/15 13:00,08/02/2015 12h,277.846,2.5209,17.12,488.667,0
2/9/15 14:00,08/02/2015 12h,284.713,2.70146,17.4,519.333,0
2/9/15 15:00,08/02/2015 12h,291.58,2.88201,17.68,550,0
2/9/15 16:00,08/02/2015 12h,298.227,2.62031,16.51,430,0
2/9/15 17:00,08/02/2015 12h,304.873,2.35861,15.34,310,0
2/9/15 18:00,08/02/2015 12h,311.52,2.0969,14.17,190,0
2/9/15 19:00,08/02/2015 12h,319.878,1.88465,13.0367,126.667,0
2/9/15 20:00,08/02/2015 12h,328.237,1.67239,11.9033,63.3333,0
2/9/15 21:00,08/02/2015 12h,336.595,1.46014,10.77,0,0
2/9/15 22:00,08/02/2015 12h,282.764,1.09052,10.74,0,0
2/9/15 23:00,08/02/2015 12h,228.932,0.720901,10.71,0,0
2/18/15 0:00,17/02/2015 12h,50.2655,5.16245,11.28,2,0
2/18/15 1:00,17/02/2015 12h,60.5168,4.68015,11.0067,1.33333,0
2/18/15 2:00,17/02/2015 12h,70.7681,4.19785,10.7333,0.666667,0
2/18/15 3:00,17/02/2015 12h,81.0194,3.71555,10.46,0,0
2/18/15 4:00,17/02/2015 12h,74.3021,3.90806,9.38999,0,0
2/18/15 5:00,17/02/2015 12h,67.5849,4.10057,8.32,0,0
2/18/15 6:00,17/02/2015 12h,60.8676,4.29309,7.25,0,0
2/18/15 7:00,17/02/2015 12h,61.2034,4.99755,8.44,23.3333,0
2/18/15 8:00,17/02/2015 12h,61.5392,5.70201,9.63,46.6667,0
2/18/15 9:00,17/02/2015 12h,61.8749,6.40647,10.82,70,0
2/18/15 10:00,17/02/2015 12h,58.0977,7.00377,12.8633,206.667,0
2/18/15 11:00,17/02/2015 12h,54.3206,7.60106,14.9067,343.333,0
2/18/15 12:00,17/02/2015 12h,50.5434,8.19835,16.95,480,0
2/18/15 13:00,17/02/2015 12h,46.1286,8.31498,17.8467,553.333,0
2/18/15 14:00,17/02/2015 12h,41.7137,8.43161,18.7433,626.667,0
2/18/15 15:00,17/02/2015 12h,37.2989,8.54824,19.64,700,0
2/18/15 16:00,17/02/2015 12h,39.0081,7.37872,18.5533,546.667,0
2/18/15 17:00,17/02/2015 12h,40.7174,6.2092,17.4667,393.333,0
2/18/15 18:00,17/02/2015 12h,42.4267,5.03968,16.38,240,0
2/18/15 19:00,17/02/2015 12h,43.6459,4.85441,15.3533,160,0
2/18/15 20:00,17/02/2015 12h,44.8651,4.66913,14.3267,80,0
2/18/15 21:00,17/02/2015 12h,46.0843,4.48386,13.3,0,0
2/18/15 22:00,17/02/2015 12h,47.3393,4.69003,12.6033,0.666667,0
2/18/15 23:00,17/02/2015 12h,48.5944,4.89619,11.9067,1.33333,0
2/19/15 0:00,18/02/2015 12h,31.1652,5.855,11.94,2,0
2/19/15 1:00,18/02/2015 12h,38.8118,5.70559,11.39,1.33333,0
2/19/15 2:00,18/02/2015 12h,46.4584,5.55619,10.84,0.666667,0
2/19/15 3:00,18/02/2015 12h,54.1051,5.40678,10.29,0,0
2/19/15 4:00,18/02/2015 12h,53.5921,5.16193,9.88,0,0
2/19/15 5:00,18/02/2015 12h,53.079,4.91708,9.47,0,0
2/19/15 6:00,18/02/2015 12h,52.566,4.67223,9.06,0,0
2/19/15 7:00,18/02/2015 12h,51.4278,5.45913,10.27,23.3333,0
2/19/15 8:00,18/02/2015 12h,50.2895,6.24604,11.48,46.6667,0
2/19/15 9:00,18/02/2015 12h,49.1513,7.03295,12.69,70,0
2/19/15 10:00,18/02/2015 12h,45.5861,6.88081,14.61,232.667,0
2/19/15 11:00,18/02/2015 12h,42.0209,6.72866,16.53,395.333,0
2/19/15 12:00,18/02/2015 12h,38.4557,6.57652,18.45,558,0
2/19/15 13:00,18/02/2015 12h,35.4416,6.81423,19.13,612,0
2/19/15 14:00,18/02/2015 12h,32.4275,7.05194,19.81,666,0
2/19/15 15:00,18/02/2015 12h,29.4134,7.28964,20.49,720,0
2/19/15 16:00,18/02/2015 12h,26.5256,7.62585,19.3667,586.667,0
2/19/15 17:00,18/02/2015 12h,23.6378,7.96206,18.2433,453.333,0
2/19/15 18:00,18/02/2015 12h,20.75,8.29826,17.12,320,0
2/19/15 19:00,18/02/2015 12h,25.8085,7.87849,16.0067,213.333,0
2/19/15 20:00,18/02/2015 12h,30.8671,7.45873,14.8933,106.667,0
2/19/15 21:00,18/02/2015 12h,35.9256,7.03896,13.78,0,0
2/19/15 22:00,18/02/2015 12h,38.0986,6.64855,13.45,0.666667,0
2/19/15 23:00,18/02/2015 12h,40.2715,6.25815,13.12,1.33333,0
2/25/15 0:00,24/02/2015 12h,60.9555153303829,9.14627320025389,11.1040588378906,0,0
2/25/15 1:00,24/02/2015 12h,63.9028277681063,8.92169530551817,10.8674255371094,0,0
2/25/15 2:00,24/02/2015 12h,65.2708015055531,8.61899210629825,10.6526428222656,0,0
2/25/15 3:00,24/02/2015 12h,64.6664256742439,8.39445645877877,10.5344482421875,0,0
2/25/15 4:00,24/02/2015 12h,64.4591880280646,8.60397799649377,10.5149780273438,0,0
2/25/15 5:00,24/02/2015 12h,65.6765322017581,8.60924162386773,10.5155883789063,0,0
2/25/15 6:00,24/02/2015 12h,65.5669337671303,8.31555095098974,10.5150390625,0,0
2/25/15 7:00,24/02/2015 12h,65.2593392657712,8.04857292571315,11.156640625,25.2414169311523,0
2/25/15 8:00,24/02/2015 12h,63.8660897288913,7.56804872668697,11.8933654785156,230.892364501953,0
2/25/15 9:00,24/02/2015 12h,61.8457740546299,7.74423470345758,13.2137390136719,412.856292724609,0
2/25/15 10:00,24/02/2015 12h,60.5208068130823,7.87682428127259,14.7375122070313,558.732482910156,0
2/25/15 11:00,24/02/2015 12h,58.8604902613039,7.98556597307582,16.0639282226563,658.579711914062,0
2/25/15 12:00,24/02/2015 12h,56.375039986404,7.78161412443583,17.1131225585938,705.59375,0
2/25/15 13:00,24/02/2015 12h,53.1273105016353,7.71206303565632,17.7995239257813,696.570434570312,0
2/25/15 14:00,24/02/2015 12h,49.3506154403717,7.68472635836487,18.0677734375,632.124816894531,0
2/25/15 15:00,24/02/2015 12h,45.4519114422167,7.65895178678673,17.9414001464844,516.648803710938,0
2/25/15 16:00,24/02/2015 12h,40.49118210067,7.46243572404627,17.1926208496094,358.011749267578,0
2/25/15 17:00,24/02/2015 12h,36.036422258712,7.6895159898003,15.5102478027344,167.024673461914,0
2/25/15 18:00,24/02/2015 12h,41.2117939023861,8.01035780067416,13.0383544921875,0,0
