base_angle_mae,base_binary_accu,base_binary_auc,base_scenario_accu,base_speed_mae,past_n_steps,pred_n_steps,xbg_binary_accu,xbg_binary_auc,xbg_speed_mae,xgb_angle_mae,xgb_scenario_accu
43.752590795093525,0.941,0.57,0.77,1.0690388819007672,48,1,0.979,0.835,0.4623116950379623,17.929400032140705,0.875
43.752590795093525,0.941,0.57,0.77,1.0690388819007672,48,3,0.976,0.788,0.6743150996784156,26.279433612625503,0.839
43.757567411993,0.941,0.57,0.77,1.0688873933783272,48,6,0.974,0.723,0.7086338453231693,27.056590253818435,0.832
43.693152985474825,0.942,0.574,0.769,1.0757130975087372,48,9,0.974,0.722,0.7097662368981377,27.269259125019897,0.828
43.85910752335151,0.942,0.575,0.77,1.0783138807031631,48,12,0.974,0.713,0.7158800485956448,27.901742926398963,0.826
43.87421618114555,0.944,0.577,0.77,1.08810396243776,48,15,0.974,0.721,0.7214544964579981,27.709226951229166,0.826
43.92608128937594,0.944,0.576,0.769,1.0999891462903244,48,18,0.974,0.723,0.7228665067132505,29.03117560423954,0.824
44.21241911021989,0.942,0.564,0.765,1.1082453181924496,48,21,0.973,0.652,0.7262066625136732,29.56810633748326,0.817
44.43150751963883,0.941,0.565,0.764,1.1076360137074996,48,24,0.973,0.639,0.7316451819561983,29.294271435314826,0.814
44.2977628924249,0.939,0.568,0.76,1.1100314226368548,48,27,0.973,0.685,0.7476468126876253,30.42977246746016,0.816
44.46688849139296,0.934,0.564,0.755,1.122436244696251,48,30,0.973,0.65,0.7424512989934559,30.53812377400882,0.812
44.77673432207808,0.929,0.564,0.75,1.1312582796197448,48,33,0.974,0.678,0.751709441885881,30.484980058603583,0.818
44.80519388648596,0.925,0.56,0.744,1.1470291641607122,48,36,0.974,0.674,0.7592201638730763,30.729570557036816,0.818
51.985333327954486,0.771,0.514,0.62,1.6474931192281228,48,39,0.973,0.617,0.8491242890410139,34.374982375027706,0.814
61.643486776650164,0.543,0.505,0.434,2.3559813204287043,48,42,0.975,0.725,0.9269933455781583,40.84471119088617,0.794
68.0079230415453,0.322,0.505,0.253,2.941698119820174,48,45,0.974,0.675,1.0108250474403158,47.82276707848047,0.794
74.70571731026682,0.101,0.507,0.076,3.5626807871098336,48,48,0.975,0.737,1.1018310262872624,56.72323656635625,0.771
