datetime,speed,wind_dir,temp,radiation,precip,ctime,mtime
2020-09-16 00:00:00,2.5,46.8,24.9,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:01:00,3.4,70.0,24.9,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:02:00,3.0,47.2,24.9,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:03:00,3.1,78.2,24.9,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:04:00,2.3,49.1,24.9,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:05:00,2.5,48.0,24.9,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:06:00,2.9,25.8,24.9,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:07:00,2.8,62.2,24.9,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:08:00,2.6,45.4,24.9,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:09:00,2.6,42.9,24.9,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:10:00,2.2,28.8,24.9,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:11:00,2.2,29.7,24.9,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:12:00,2.3,23.2,24.9,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:13:00,1.9,67.3,24.9,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:14:00,2.1,45.4,24.9,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:15:00,2.0,49.7,24.9,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:16:00,2.4,39.0,24.9,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:17:00,2.3,31.5,24.9,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:18:00,2.8,7.0,24.9,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:19:00,1.7,20.4,24.9,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:20:00,1.8,32.3,24.9,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:21:00,2.1,25.6,24.9,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:22:00,1.1,341.8,24.9,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:23:00,1.7,12.6,24.9,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:24:00,2.0,342.9,24.9,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:25:00,2.0,13.4,24.9,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:26:00,1.2,350.2,24.9,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:27:00,1.6,338.4,24.9,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:28:00,1.9,343.2,24.8,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:29:00,1.7,351.7,24.8,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:30:00,1.7,343.8,24.8,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:31:00,2.3,340.9,24.8,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:32:00,1.9,1.3,24.8,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:33:00,2.2,16.8,24.7,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:34:00,2.3,34.4,24.7,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:35:00,1.7,26.4,24.7,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:36:00,1.4,23.7,24.7,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:37:00,1.4,18.0,24.7,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:38:00,1.3,15.3,24.7,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:39:00,0.7,48.0,24.7,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:40:00,1.7,347.1,24.7,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:41:00,1.6,29.6,24.7,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:42:00,1.7,22.2,24.7,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:43:00,1.5,49.6,24.7,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:44:00,1.7,53.3,24.7,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:45:00,2.2,34.5,24.7,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:46:00,2.2,48.2,24.7,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
2020-09-16 00:47:00,2.4,42.2,24.7,0,0.0,2020-09-16 01:05:05,2020-09-17 01:07:01
