p_date,f_date,speed,temp,rad,precip,cos_wind_dir,sin_wind_dir,wind_dir,file_creation_date
2021-03-04 12:00:00,2021-03-04 12:00:00,3.9,17.9,690,0.0,-0.43837114678907774,-0.8987940462991668,244,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-04 13:00:00,4.3,17.6,736,0.5,-0.17364817766693033,-0.984807753012208,260,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-04 14:00:00,4.1,16.8,726,0.3,-0.12186934340514717,-0.9925461516413221,263,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-04 15:00:00,3.8,16.6,660,0.2,0.13917310096006547,-0.9902680687415704,278,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-04 16:00:00,3.3,16.1,543,0.2,0.37460659341591196,-0.9271838545667874,292,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-04 17:00:00,2.7,15.7,382,0.1,0.2756373558169994,-0.9612616959383188,286,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-04 18:00:00,2.4,15.2,189,0.0,0.30901699437494723,-0.9510565162951536,288,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-04 19:00:00,1.7,14.7,0,0.0,0.17364817766692997,-0.9848077530122081,280,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-04 20:00:00,1.3,14.2,0,0.0,-0.08715574274765825,-0.9961946980917455,265,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-04 21:00:00,1.4,13.9,0,0.0,-0.19080899537654547,-0.9816271834476639,259,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-04 22:00:00,1.5,13.7,0,0.0,-0.42261826174069994,-0.9063077870366497,245,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-04 23:00:00,1.9,13.9,0,0.2,-0.5000000000000004,-0.8660254037844385,240,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-05 03:00:00,3.4,14.0,0,0.1,-0.6819983600624989,-0.7313537016191701,227,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-05 04:00:00,2.5,13.8,0,0.1,-0.22495105434386525,-0.9743700647852351,257,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-05 05:00:00,1.8,13.2,0,0.0,-0.08715574274765825,-0.9961946980917455,265,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-05 06:00:00,1.6,12.5,0,0.0,-0.5000000000000004,-0.8660254037844385,240,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-05 07:00:00,1.9,11.9,0,0.0,-0.766044443118978,-0.6427876096865393,220,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-05 08:00:00,2.4,12.4,59,0.0,-0.8290375725550417,-0.5591929034707467,214,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-05 09:00:00,3.7,14.8,266,0.0,-0.7771459614569708,-0.6293203910498376,219,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-05 10:00:00,4.7,15.9,449,0.0,-0.7431448254773942,-0.6691306063588582,222,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-05 11:00:00,5.4,16.8,595,0.0,-0.6560590289905077,-0.7547095802227717,229,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-05 12:00:00,6.3,17.6,174,0.0,-0.6018150231520483,-0.7986355100472928,233,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-05 13:00:00,6.7,18.5,185,0.0,-0.5877852522924732,-0.8090169943749473,234,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-05 14:00:00,7.8,19.1,183,0.0,-0.5877852522924732,-0.8090169943749473,234,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-05 15:00:00,8.1,18.8,183,0.0,-0.43837114678907774,-0.8987940462991668,244,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-05 16:00:00,6.6,15.7,546,0.8,-0.4067366430758001,-0.913545457642601,246,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-05 17:00:00,7.2,14.9,385,1.1,-0.5877852522924732,-0.8090169943749473,234,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-05 18:00:00,7.0,14.9,192,1.6,-0.4067366430758001,-0.913545457642601,246,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-05 19:00:00,4.7,15.0,0,0.2,0.10452846326765299,-0.9945218953682734,276,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-05 20:00:00,3.6,14.4,0,0.3,-0.15643446504023104,-0.9876883405951377,261,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-05 21:00:00,3.5,14.3,0,0.2,-0.08715574274765825,-0.9961946980917455,265,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-05 22:00:00,3.1,13.8,0,0.0,-0.03489949670250165,-0.9993908270190957,268,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-05 23:00:00,2.8,12.8,0,0.0,-0.10452846326765336,-0.9945218953682734,264,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-05 00:00:00,2.4,14.1,0,0.0,-0.7313537016191706,-0.6819983600624984,223,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-05 01:00:00,2.8,14.2,0,0.0,-0.8090169943749475,-0.587785252292473,216,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-05 02:00:00,3.4,14.2,0,0.0,-0.819152044288992,-0.5735764363510458,215,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-06 00:00:00,2.8,12.3,0,0.0,-0.2756373558169989,-0.961261695938319,254,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-06 01:00:00,2.6,12.4,0,0.0,-0.48480962024633684,-0.8746197071393959,241,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-06 02:00:00,2.6,12.2,0,0.0,-0.6018150231520483,-0.7986355100472928,233,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-06 03:00:00,2.6,12.1,0,0.0,-0.544639035015027,-0.8386705679454242,237,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-06 04:00:00,2.4,11.7,0,0.0,-0.5735764363510464,-0.8191520442889916,235,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-06 05:00:00,1.9,11.7,0,0.0,-0.766044443118978,-0.6427876096865393,220,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-06 06:00:00,1.7,11.1,0,0.0,-0.992546151641322,-0.12186934340514774,187,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-06 07:00:00,1.7,10.8,0,0.1,-0.9993908270190958,-0.0348994967025009,182,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-06 08:00:00,1.8,11.5,64,0.4,-0.9902680687415703,-0.13917310096006552,188,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-06 09:00:00,2.3,13.0,271,0.2,-0.9743700647852352,-0.22495105434386498,193,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-06 10:00:00,2.6,13.7,453,0.3,-0.9396926207859084,-0.34202014332566866,200,2021-03-04 20:00:00
2021-03-04 12:00:00,2021-03-06 11:00:00,2.2,13.9,442,0.2,-0.8987940462991671,-0.43837114678907707,206,2021-03-04 20:00:00
2021-03-05 00:00:00,2021-03-05 00:00:00,3.2,14.8,0,0.0,-0.6946583704589975,-0.7193398003386509,226,2021-03-05 08:00:00
2021-03-05 00:00:00,2021-03-05 01:00:00,3.6,14.5,0,0.1,-0.6560590289905077,-0.7547095802227717,229,2021-03-05 08:00:00
2021-03-05 00:00:00,2021-03-05 02:00:00,3.8,14.6,0,0.1,-0.5000000000000004,-0.8660254037844385,240,2021-03-05 08:00:00
2021-03-05 00:00:00,2021-03-05 03:00:00,3.0,14.2,0,0.1,0.17364817766692997,-0.9848077530122081,280,2021-03-05 08:00:00
2021-03-05 00:00:00,2021-03-05 04:00:00,2.7,13.6,0,0.0,0.3907311284892735,-0.9205048534524405,293,2021-03-05 08:00:00
2021-03-05 00:00:00,2021-03-05 05:00:00,1.9,12.8,0,0.0,0.06975647374412522,-0.9975640502598243,274,2021-03-05 08:00:00
